"Timestamp","BackendPid","CPUSeconds","WorkingSetMB","PrivateMemoryMB","ThreadCount"
"2026-09-03T20:24:22.0084001+07:00","13868","0.266","55.69","67.11","16"
"2026-09-03T20:24:23.1085963+07:00","13868","0.266","55.69","67.11","16"
"2026-09-03T20:24:24.1190039+07:00","13868","0.266","55.76","67.11","16"
"2026-09-03T20:24:25.1288589+07:00","13868","0.344","61.42","69.87","16"
"2026-09-03T20:24:26.1491633+07:00","13868","0.391","61.75","70.25","16"
"2026-09-03T20:24:27.1842315+07:00","13868","0.547","62.66","70.51","16"
"2026-09-03T20:24:28.2085292+07:00","13868","0.672","62.84","70.07","16"
"2026-09-03T20:24:29.2192511+07:00","13868","0.859","63.36","70.52","16"
"2026-09-03T20:24:30.2328211+07:00","13868","1.141","65.34","71.29","16"
"2026-09-03T20:24:31.2572915+07:00","13868","1.359","66.94","74.94","16"
"2026-09-03T20:24:32.2671688+07:00","13868","1.516","66.89","73.41","16"
"2026-09-03T20:24:33.2681561+07:00","13868","1.672","68.39","75.29","16"
"2026-09-03T20:24:34.2854841+07:00","13868","1.859","68.63","84.65","16"
"2026-09-03T20:24:35.3013037+07:00","13868","2.062","71.36","84.24","16"
"2026-09-03T20:24:36.3159541+07:00","13868","2.25","74.42","84.36","16"
"2026-09-03T20:24:37.3329660+07:00","13868","2.328","74.41","83.36","16"
"2026-09-03T20:24:38.3441816+07:00","13868","2.484","74.96","83.75","16"
"2026-09-03T20:24:39.3591295+07:00","13868","2.609","74.74","83.27","16"
"2026-09-03T20:24:40.3668962+07:00","13868","2.766","75.11","84.88","16"
"2026-09-03T20:24:41.3842874+07:00","13868","3.047","75.31","85.71","16"
"2026-09-03T20:24:42.4022308+07:00","13868","3.156","75.95","86.14","16"
"2026-09-03T20:24:43.4130400+07:00","13868","3.328","76.04","100.61","16"
"2026-09-03T20:24:44.4265554+07:00","13868","3.469","76.07","100.64","16"
"2026-09-03T20:24:45.4435535+07:00","13868","3.562","79.31","101.45","16"
"2026-09-03T20:24:46.4668636+07:00","13868","3.688","82.62","101.46","16"
"2026-09-03T20:24:47.4787410+07:00","13868","3.891","82.73","101.47","16"
"2026-09-03T20:24:48.5051776+07:00","13868","4.031","86.24","100.8","16"
"2026-09-03T20:24:49.5196338+07:00","13868","4.219","89.27","101.14","16"
"2026-09-03T20:24:50.5310660+07:00","13868","4.328","89.29","101.17","16"
"2026-09-03T20:24:51.5439320+07:00","13868","4.516","61.56","66.75","13"
"2026-09-03T20:24:52.5673182+07:00","13868","4.719","60.72","65.82","13"
"2026-09-03T20:24:53.5786240+07:00","13868","4.938","62.39","68.48","13"
"2026-09-03T20:24:54.5981070+07:00","13868","5.094","63.35","69.58","13"
"2026-09-03T20:24:55.6255330+07:00","13868","5.281","64.93","74","13"
"2026-09-03T20:24:56.6328001+07:00","13868","5.438","67.63","74.58","13"
"2026-09-03T20:24:57.6487884+07:00","13868","5.625","68.72","75.85","13"
"2026-09-03T20:24:58.6701821+07:00","13868","5.797","69.08","76.13","13"
"2026-09-03T20:24:59.6827910+07:00","13868","6.016","69.26","84.35","13"
"2026-09-03T20:25:00.7054177+07:00","13868","6.172","71.88","84.37","13"
"2026-09-03T20:25:01.7239511+07:00","13868","6.359","73.76","85.09","13"
"2026-09-03T20:25:02.7387718+07:00","13868","6.594","75.47","84.19","13"
"2026-09-03T20:25:03.7546202+07:00","13868","6.734","75.77","84.36","13"
"2026-09-03T20:25:04.7672434+07:00","13868","6.906","75.79","84.36","13"
"2026-09-03T20:25:05.7886576+07:00","13868","7.016","75.98","85.27","13"
"2026-09-03T20:25:06.8127925+07:00","13868","7.203","75.33","85.02","13"
"2026-09-03T20:25:07.8387325+07:00","13868","7.453","75.84","85.27","13"
"2026-09-03T20:25:08.8573114+07:00","13868","7.562","76.13","85.56","13"
"2026-09-03T20:25:09.8651091+07:00","13868","7.719","76.42","100.84","13"
"2026-09-03T20:25:10.9075708+07:00","13868","7.766","76.54","101.92","13"
"2026-09-03T20:25:11.9228670+07:00","13868","7.766","76.54","101.92","13"
"2026-09-03T20:25:12.9281181+07:00","13868","7.766","76.54","101.92","13"
