"Timestamp","BackendPid","CPUSeconds","WorkingSetMB","PrivateMemoryMB","ThreadCount"
"2026-09-03T18:59:21.9404019+07:00","14808","0.5","50.19","57.47","13"
"2026-09-03T18:59:22.9952521+07:00","14808","0.5","50.19","57.47","13"
"2026-09-03T18:59:24.0201105+07:00","14808","0.5","50.19","57.47","13"
"2026-09-03T18:59:25.0320533+07:00","14808","0.5","50.19","57.47","13"
"2026-09-03T18:59:26.0490352+07:00","14808","0.5","50.19","57.47","13"
"2026-09-03T18:59:27.0674642+07:00","14808","0.516","51.61","58.12","13"
"2026-09-03T18:59:28.0845058+07:00","14808","0.516","51.69","58.12","13"
"2026-09-03T18:59:29.1015878+07:00","14808","0.531","52.24","59.16","13"
"2026-09-03T18:59:30.1179660+07:00","14808","0.531","52.41","59.16","13"
"2026-09-03T18:59:31.1406538+07:00","14808","0.531","52.48","59.16","13"
"2026-09-03T18:59:32.1486581+07:00","14808","0.531","52.57","59.16","13"
"2026-09-03T18:59:33.1647772+07:00","14808","0.578","56.26","60.49","13"
"2026-09-03T18:59:34.1763840+07:00","14808","0.578","56.34","60.68","13"
"2026-09-03T18:59:35.1937380+07:00","14808","0.578","56.4","60.68","13"
"2026-09-03T18:59:36.2077069+07:00","14808","0.578","56.46","60.68","13"
"2026-09-03T18:59:37.2243961+07:00","14808","0.578","56.54","60.93","13"
"2026-09-03T18:59:38.2330858+07:00","14808","0.594","57.11","61.19","13"
"2026-09-03T18:59:39.2454856+07:00","14808","0.594","57.11","61.19","13"
"2026-09-03T18:59:40.2675149+07:00","14808","0.594","57.11","61.19","13"
