"Timestamp","BackendPid","CPUSeconds","WorkingSetMB","PrivateMemoryMB","ThreadCount"
"2026-09-03T19:23:26.6399841+07:00","16528","0.516","51.24","58.31","16"
"2026-09-03T19:23:27.6864948+07:00","16528","0.516","51.24","58.31","16"
"2026-09-03T19:23:28.7067032+07:00","16528","0.516","51.24","58.31","16"
"2026-09-03T19:23:29.7220718+07:00","16528","0.516","51.24","58.31","16"
"2026-09-03T19:23:30.7366907+07:00","16528","0.547","52.51","58.31","16"
"2026-09-03T19:23:31.7492486+07:00","16528","0.562","52.64","58.82","16"
"2026-09-03T19:23:32.7693141+07:00","16528","0.75","58.23","63.16","16"
"2026-09-03T19:23:33.7992167+07:00","16528","0.859","58.87","63.41","16"
"2026-09-03T19:23:34.8143792+07:00","16528","1.094","61.11","66","16"
"2026-09-03T19:23:35.8321637+07:00","16528","1.438","61.93","66.81","16"
"2026-09-03T19:23:36.8484027+07:00","16528","1.812","65.81","74.15","16"
"2026-09-03T19:23:37.8591541+07:00","16528","2.141","67.84","74.4","16"
"2026-09-03T19:23:38.8784841+07:00","16528","2.594","68.47","83.19","16"
"2026-09-03T19:23:39.8920930+07:00","16528","3.125","75.48","83.43","16"
"2026-09-03T19:23:40.8966573+07:00","16528","3.641","75.8","84.21","16"
"2026-09-03T19:23:41.9151917+07:00","16528","4.156","76.77","85.32","16"
"2026-09-03T19:23:42.9444409+07:00","16528","4.766","77.41","101.47","13"
"2026-09-03T19:23:43.9601704+07:00","16528","5.312","83.25","100.67","13"
"2026-09-03T19:23:44.9751728+07:00","16528","6.078","90.11","101.69","13"
"2026-09-03T19:23:45.9843022+07:00","16528","6.719","90.83","102.57","13"
"2026-09-03T19:23:46.9997544+07:00","16528","7.453","93.98","105.13","13"
"2026-09-03T19:23:48.0184307+07:00","16528","8.297","96.16","140.29","13"
"2026-09-03T19:23:49.0430624+07:00","16528","9.234","109.15","140.72","13"
"2026-09-03T19:23:50.0583869+07:00","16528","10.109","119.36","141.55","13"
"2026-09-03T19:23:51.0800782+07:00","16528","10.938","122.62","141.57","13"
"2026-09-03T19:23:52.0996841+07:00","16528","11.797","122.98","141.72","13"
"2026-09-03T19:23:53.1249476+07:00","16528","12.734","123.95","142.88","13"
"2026-09-03T19:23:54.1319485+07:00","16528","13.594","124.6","143.47","13"
"2026-09-03T19:23:55.1470627+07:00","16528","14.469","124.4","143.86","13"
"2026-09-03T19:23:56.1588001+07:00","16528","15.734","127.2","209.39","13"
"2026-09-03T19:23:57.1691463+07:00","16528","16.656","136","209.99","13"
"2026-09-03T19:23:58.1835555+07:00","16528","17.641","152.91","209.41","13"
"2026-09-03T19:23:59.2013166+07:00","16528","18.625","164.91","210.47","13"
"2026-09-03T19:24:00.2119644+07:00","16528","19.594","178.51","211.54","13"
"2026-09-03T19:24:01.2322095+07:00","16528","20.453","179.29","212.27","13"
"2026-09-03T19:24:02.2414969+07:00","16528","21.375","177.73","210.12","13"
"2026-09-03T19:24:03.2527209+07:00","16528","22.344","179.09","211.53","13"
"2026-09-03T19:24:04.2636273+07:00","16528","23.422","178.64","211.05","13"
"2026-09-03T19:24:05.2838595+07:00","16528","24.344","179.84","212.68","13"
"2026-09-03T19:24:06.2980254+07:00","16528","25.203","178.62","210.82","13"
"2026-09-03T19:24:07.3095476+07:00","16528","26.109","179.34","211.35","13"
"2026-09-03T19:24:08.3172605+07:00","16528","27.047","178.57","210.34","13"
"2026-09-03T19:24:09.3397826+07:00","16528","28.172","180.33","212.15","13"
"2026-09-03T19:24:10.3626123+07:00","16528","29.266","179.43","211.37","13"
"2026-09-03T19:24:11.3827121+07:00","16528","30.172","180.67","212.54","13"
"2026-09-03T19:24:12.3942524+07:00","16528","31.062","180.89","212.96","13"
"2026-09-03T19:24:13.3996084+07:00","16528","32.062","181.37","213.2","13"
"2026-09-03T19:24:14.4182797+07:00","16528","33.219","180.2","211.47","13"
"2026-09-03T19:24:15.4367920+07:00","16528","34.188","181.41","212.84","13"
"2026-09-03T19:24:16.4441918+07:00","16528","35.156","180.3","211.68","13"
"2026-09-03T19:24:17.4577371+07:00","16528","36.141","181.35","212.46","13"
"2026-09-03T19:24:18.4823656+07:00","16528","37.172","181.45","213.07","13"
"2026-09-03T19:24:19.5005644+07:00","16528","38.109","182.53","213.69","13"
"2026-09-03T19:24:20.5110589+07:00","16528","38.953","181.96","212.02","13"
"2026-09-03T19:24:21.5263613+07:00","16528","39.875","182.91","213.25","13"
"2026-09-03T19:24:22.5424749+07:00","16528","40.812","182.22","213.39","13"
"2026-09-03T19:24:23.5499658+07:00","16528","41.781","183.38","214.34","13"
"2026-09-03T19:24:24.5611359+07:00","16528","42.75","182.09","212.43","13"
"2026-09-03T19:24:25.5734274+07:00","16528","43.688","183.18","213.74","13"
"2026-09-03T19:24:26.5909566+07:00","16528","44.688","182.66","212.66","13"
"2026-09-03T19:24:27.6134570+07:00","16528","45.672","184.02","213.89","13"
"2026-09-03T19:24:28.6362617+07:00","16528","46.672","183.88","213.84","13"
"2026-09-03T19:24:29.6530235+07:00","16528","47.781","184.12","214.47","13"
"2026-09-03T19:24:30.6673481+07:00","16528","48.531","182.67","212.77","13"
"2026-09-03T19:24:31.6864732+07:00","16528","49.438","183.95","214.72","13"
"2026-09-03T19:24:32.7175557+07:00","16528","50.438","183.5","213.77","13"
"2026-09-03T19:24:33.7420336+07:00","16528","51.266","184.27","214.44","13"
"2026-09-03T19:24:34.7450072+07:00","16528","52.125","184.04","213.61","13"
"2026-09-03T19:24:35.7864969+07:00","16528","53.203","185.02","214.68","13"
"2026-09-03T19:24:36.8020686+07:00","16528","54.078","183.98","213.96","13"
"2026-09-03T19:24:37.8112436+07:00","16528","55.109","185.1","215.22","13"
"2026-09-03T19:24:38.8321312+07:00","16528","56.016","184.55","214.54","13"
"2026-09-03T19:24:39.8453984+07:00","16528","56.906","185.36","215.29","13"
"2026-09-03T19:24:40.8688538+07:00","16528","57.828","184.31","214.32","13"
"2026-09-03T19:24:41.8845166+07:00","16528","58.75","185.51","215.67","13"
"2026-09-03T19:24:42.8946394+07:00","16528","59.656","184.67","214.89","13"
"2026-09-03T19:24:43.9021567+07:00","16528","60.547","186.11","216.43","13"
"2026-09-03T19:24:44.9218355+07:00","16528","61.531","187.02","216.98","13"
"2026-09-03T19:24:45.9400656+07:00","16528","62.438","185.57","216.04","13"
"2026-09-03T19:24:46.9545875+07:00","16528","63.375","186.43","216.73","13"
"2026-09-03T19:24:47.9690182+07:00","16528","64.359","185.42","214.96","13"
"2026-09-03T19:24:48.9792952+07:00","16528","65.344","186.66","216.23","13"
"2026-09-03T19:24:50.0027342+07:00","16528","66.281","186.28","216.43","13"
"2026-09-03T19:24:51.0137854+07:00","16528","67.156","187.23","217.16","13"
"2026-09-03T19:24:52.0339588+07:00","16528","68.047","186.23","216.57","13"
"2026-09-03T19:24:53.0429748+07:00","16528","69.109","187.11","217.15","13"
"2026-09-03T19:24:54.0643046+07:00","16528","70.031","186.93","216.91","13"
"2026-09-03T19:24:55.0808041+07:00","16528","70.969","187.49","217.43","13"
"2026-09-03T19:24:56.1015572+07:00","16528","71.938","185.84","215.69","13"
"2026-09-03T19:24:57.1147369+07:00","16528","72.75","187.12","217.01","13"
"2026-09-03T19:24:58.1288365+07:00","16528","73.859","185.63","215.29","13"
"2026-09-03T19:24:59.1536809+07:00","16528","74.781","187.16","217.13","13"
"2026-09-03T19:25:00.1769144+07:00","16528","75.672","186.14","216.65","13"
"2026-09-03T19:25:01.1782936+07:00","16528","76.703","187.63","217.89","13"
"2026-09-03T19:25:02.1934970+07:00","16528","77.656","187.08","216.75","13"
"2026-09-03T19:25:03.2102388+07:00","16528","78.562","188.2","217.6","13"
"2026-09-03T19:25:04.2206074+07:00","16528","79.469","186.39","215.96","13"
"2026-09-03T19:25:05.2351681+07:00","16528","80.484","188.18","218","13"
"2026-09-03T19:25:06.2459168+07:00","16528","81.453","187.32","217.07","13"
"2026-09-03T19:25:07.2673566+07:00","16528","82.234","188.43","217.94","13"
"2026-09-03T19:25:08.2744772+07:00","16528","83.141","187.21","217.11","13"
"2026-09-03T19:25:09.2901730+07:00","16528","84.141","188.57","218.27","13"
"2026-09-03T19:25:10.3115508+07:00","16528","85.031","187.12","216.26","13"
"2026-09-03T19:25:11.3304940+07:00","16528","85.969","188.72","218.26","13"
"2026-09-03T19:25:12.3398011+07:00","16528","86.828","187.52","217.04","13"
"2026-09-03T19:25:13.3496975+07:00","16528","87.781","188.61","218.25","13"
"2026-09-03T19:25:14.3604084+07:00","16528","88.859","187.86","217.47","13"
"2026-09-03T19:25:15.3705574+07:00","16528","89.734","189.1","218.75","13"
"2026-09-03T19:25:16.3790404+07:00","16528","90.688","187.73","216.98","13"
"2026-09-03T19:25:17.3926987+07:00","16528","91.625","188.81","218.04","13"
"2026-09-03T19:25:18.4165879+07:00","16528","92.281","188.41","217.13","13"
"2026-09-03T19:25:19.4341980+07:00","16528","93.266","189.64","218.66","13"
"2026-09-03T19:25:20.4515355+07:00","16528","94.156","188.12","217.88","13"
"2026-09-03T19:25:21.4745569+07:00","16528","95.078","189.5","219.27","13"
"2026-09-03T19:25:22.4845665+07:00","16528","96.094","188.38","217.21","13"
"2026-09-03T19:25:23.5045754+07:00","16528","96.922","189.77","218.57","13"
"2026-09-03T19:25:24.5083110+07:00","16528","97.781","188.25","217.53","13"
"2026-09-03T19:25:25.5244868+07:00","16528","98.578","189.86","219.53","13"
"2026-09-03T19:25:26.5357621+07:00","16528","99.469","188.38","217.34","12"
"2026-09-03T19:25:27.5549706+07:00","16528","100.484","189.78","219.23","12"
"2026-09-03T19:25:28.5668137+07:00","16528","101.375","188.64","217.77","12"
"2026-09-03T19:25:29.5786188+07:00","16528","102.344","190.03","219.58","12"
"2026-09-03T19:25:30.5900051+07:00","16528","103.312","188.72","217.62","12"
"2026-09-03T19:25:31.6144161+07:00","16528","104.219","190.45","219.68","12"
"2026-09-03T19:25:32.6320004+07:00","16528","105.328","188.99","218.09","12"
"2026-09-03T19:25:33.6513731+07:00","16528","106.266","190.66","220.15","12"
"2026-09-03T19:25:34.6630352+07:00","16528","107.141","189.04","217.93","12"
"2026-09-03T19:25:35.6793611+07:00","16528","108.062","191.02","220.58","12"
"2026-09-03T19:25:36.7019178+07:00","16528","109.016","189.07","218.43","12"
"2026-09-03T19:25:37.7210790+07:00","16528","109.828","190.78","220.64","12"
"2026-09-03T19:25:38.7321051+07:00","16528","110.797","189.25","218.29","12"
"2026-09-03T19:25:39.7520032+07:00","16528","111.906","86.25","91.11","12"
"2026-09-03T19:25:40.7617743+07:00","16528","112.766","94.87","101.4","12"
"2026-09-03T19:25:41.7764317+07:00","16528","113.734","93.62","98.35","12"
"2026-09-03T19:25:42.7906903+07:00","16528","114.859","94.23","99.07","12"
"2026-09-03T19:25:43.8046100+07:00","16528","115.891","96.99","111.71","12"
"2026-09-03T19:25:44.8069829+07:00","16528","116.875","103.46","111.38","12"
"2026-09-03T19:25:45.8148116+07:00","16528","117.672","103.38","111.24","12"
"2026-09-03T19:25:46.8301131+07:00","16528","118.609","102.97","110.34","12"
"2026-09-03T19:25:47.8396381+07:00","16528","119.516","103.93","111.79","12"
"2026-09-03T19:25:48.8519399+07:00","16528","120.469","103.49","111.16","12"
"2026-09-03T19:25:49.8635140+07:00","16528","121.422","103.98","111.67","12"
"2026-09-03T19:25:50.8766903+07:00","16528","122.391","103.5","110.72","12"
"2026-09-03T19:25:51.8960341+07:00","16528","123.219","103.25","110.45","12"
"2026-09-03T19:25:52.9132443+07:00","16528","124.203","103.96","111.27","12"
"2026-09-03T19:25:53.9223668+07:00","16528","125.156","103.31","110.71","12"
"2026-09-03T19:25:54.9330583+07:00","16528","126.172","104.23","111.52","12"
"2026-09-03T19:25:55.9364001+07:00","16528","127.047","104.36","111.7","12"
"2026-09-03T19:25:56.9477782+07:00","16528","127.656","104.39","111.72","12"
"2026-09-03T19:25:57.9654396+07:00","16528","127.703","104.41","111.73","12"
"2026-09-03T19:25:58.9737432+07:00","16528","127.906","104.45","111.75","12"
"2026-09-03T19:25:59.9877956+07:00","16528","128.734","109.84","143.4","12"
"2026-09-03T19:26:01.0036864+07:00","16528","129.75","121.43","143.29","12"
"2026-09-03T19:26:02.0077523+07:00","16528","130.688","128.52","144.18","12"
"2026-09-03T19:26:03.0094810+07:00","16528","131.484","129","144.64","12"
"2026-09-03T19:26:04.0290120+07:00","16528","132.422","128.15","143.7","12"
"2026-09-03T19:26:05.0539225+07:00","16528","133.484","127.48","142.93","12"
"2026-09-03T19:26:06.0712578+07:00","16528","134.531","127.68","142.59","12"
"2026-09-03T19:26:07.0890722+07:00","16528","135.406","128.05","143.11","12"
"2026-09-03T19:26:08.1121786+07:00","16528","136.219","127.66","142.55","12"
"2026-09-03T19:26:09.1338123+07:00","16528","137.062","128","142.21","12"
"2026-09-03T19:26:10.1350148+07:00","16528","137.969","128.07","142.47","12"
"2026-09-03T19:26:11.1630290+07:00","16528","139.047","127.6","142.01","12"
"2026-09-03T19:26:12.1859509+07:00","16528","139.922","127.88","142.29","12"
"2026-09-03T19:26:13.1891879+07:00","16528","140.891","129.48","144.12","12"
"2026-09-03T19:26:14.1976647+07:00","16528","141.75","130.6","144.12","12"
"2026-09-03T19:26:15.2190537+07:00","16528","142.672","128.88","142.6","12"
"2026-09-03T19:26:16.2257418+07:00","16528","143.625","128.88","142.8","12"
"2026-09-03T19:26:17.2440091+07:00","16528","144.609","128.25","141.8","12"
"2026-09-03T19:26:18.2680277+07:00","16528","145.531","130.06","144.89","12"
"2026-09-03T19:26:19.2707650+07:00","16528","146.266","129.84","144.89","12"
"2026-09-03T19:26:20.2792726+07:00","16528","147.188","129.61","144.24","12"
"2026-09-03T19:26:21.2971831+07:00","16528","148.234","129.05","143.56","12"
"2026-09-03T19:26:22.3118351+07:00","16528","149.328","129.76","144.6","12"
"2026-09-03T19:26:23.3217503+07:00","16528","150.391","131.03","145.93","12"
"2026-09-03T19:26:24.3391058+07:00","16528","151.25","129.21","143.72","12"
"2026-09-03T19:26:25.3531772+07:00","16528","152.172","131.13","145.88","12"
"2026-09-03T19:26:26.3635670+07:00","16528","153.016","131.32","145.88","12"
"2026-09-03T19:26:27.3720884+07:00","16528","153.875","131.59","145.91","12"
"2026-09-03T19:26:28.3888766+07:00","16528","154.766","131.64","145.91","12"
"2026-09-03T19:26:29.3953097+07:00","16528","155.562","131.66","145.91","12"
"2026-09-03T19:26:30.4075721+07:00","16528","156.391","131.86","145.91","12"
"2026-09-03T19:26:31.4204425+07:00","16528","157.406","131.87","145.92","12"
"2026-09-03T19:26:32.4373800+07:00","16528","158.312","132.02","145.93","12"
"2026-09-03T19:26:33.4528427+07:00","16528","159.25","130.46","144.63","12"
"2026-09-03T19:26:34.4730860+07:00","16528","160","131.52","145.43","12"
"2026-09-03T19:26:35.4912988+07:00","16528","161","131.95","145.91","12"
