"Timestamp","BackendPid","CPUSeconds","WorkingSetMB","PrivateMemoryMB","ThreadCount"
"2026-09-03T19:06:22.4483462+07:00","24836","0.406","50.27","57.32","16"
"2026-09-03T19:06:23.4920533+07:00","24836","0.406","50.27","57.32","16"
"2026-09-03T19:06:24.5031440+07:00","24836","0.406","50.27","57.32","16"
"2026-09-03T19:06:25.5161687+07:00","24836","0.406","50.27","57.32","16"
"2026-09-03T19:06:26.5319734+07:00","24836","0.406","50.27","57.32","16"
"2026-09-03T19:06:27.5550438+07:00","24836","0.438","51.64","58.12","16"
"2026-09-03T19:06:28.5699367+07:00","24836","0.484","56.4","60.66","16"
"2026-09-03T19:06:29.5864858+07:00","24836","0.516","56.95","61.44","16"
"2026-09-03T19:06:30.6052735+07:00","24836","0.562","57.12","61.44","16"
"2026-09-03T19:06:31.6170979+07:00","24836","0.641","57.57","61.43","16"
"2026-09-03T19:06:32.6320651+07:00","24836","0.703","57.72","61.93","16"
"2026-09-03T19:06:33.6437688+07:00","24836","0.75","57.84","63.99","16"
"2026-09-03T19:06:34.6713448+07:00","24836","0.828","58.81","64.5","16"
"2026-09-03T19:06:35.6829118+07:00","24836","0.953","59.99","65.02","16"
"2026-09-03T19:06:36.6905399+07:00","24836","1.062","60.12","65.27","16"
"2026-09-03T19:06:37.7032236+07:00","24836","1.125","60.7","65.18","13"
"2026-09-03T19:06:38.7227702+07:00","24836","1.266","60.86","65.43","13"
"2026-09-03T19:06:39.7317675+07:00","24836","1.359","61.16","70.34","13"
"2026-09-03T19:06:40.7535616+07:00","24836","1.562","64.12","72.71","13"
"2026-09-03T19:06:41.7657517+07:00","24836","1.672","65.97","73.25","13"
"2026-09-03T19:06:42.7848712+07:00","24836","1.812","65.98","72.58","13"
"2026-09-03T19:06:43.8027315+07:00","24836","1.953","66.55","72.57","13"
"2026-09-03T19:06:44.8140018+07:00","24836","2.219","66.5","73.52","13"
"2026-09-03T19:06:45.8144501+07:00","24836","2.438","66.82","73.36","13"
"2026-09-03T19:06:46.8371379+07:00","24836","2.594","67.3","81.99","13"
"2026-09-03T19:06:47.8497283+07:00","24836","2.781","70.53","82.18","13"
"2026-09-03T19:06:48.8615209+07:00","24836","2.953","71.73","81.92","13"
"2026-09-03T19:06:49.8848331+07:00","24836","3.266","73.77","81.3","13"
"2026-09-03T19:06:50.9055662+07:00","24836","3.5","74.07","81.58","13"
"2026-09-03T19:06:51.9186277+07:00","24836","3.828","74.61","82.78","13"
"2026-09-03T19:06:52.9342254+07:00","24836","4.141","74.76","83.04","13"
"2026-09-03T19:06:53.9490944+07:00","24836","4.391","75.74","84.02","13"
"2026-09-03T19:06:54.9646356+07:00","24836","4.656","75.8","84.06","13"
"2026-09-03T19:06:55.9836707+07:00","24836","5.094","76.44","100.31","13"
"2026-09-03T19:06:57.0020528+07:00","24836","5.438","78.5","100.29","13"
"2026-09-03T19:06:58.0189189+07:00","24836","5.609","82.37","100.01","13"
"2026-09-03T19:06:59.0315478+07:00","24836","5.859","84.79","100.77","13"
"2026-09-03T19:07:00.0400480+07:00","24836","6.141","89.43","100.85","13"
"2026-09-03T19:07:01.0554396+07:00","24836","6.422","89.44","100.86","13"
"2026-09-03T19:07:02.0687056+07:00","24836","6.672","89.29","100.21","13"
"2026-09-03T19:07:03.0832693+07:00","24836","7.016","89.48","100.27","13"
"2026-09-03T19:07:04.0946284+07:00","24836","7.359","90.86","102.41","13"
"2026-09-03T19:07:05.1053638+07:00","24836","7.609","91.12","102.47","13"
"2026-09-03T19:07:06.1225185+07:00","24836","7.969","92.63","104.57","13"
"2026-09-03T19:07:07.1382680+07:00","24836","8.328","94.55","138.15","13"
"2026-09-03T19:07:08.1541613+07:00","24836","8.656","94.52","138.75","13"
"2026-09-03T19:07:09.1696339+07:00","24836","9.031","95.89","139.57","13"
"2026-09-03T19:07:10.1888122+07:00","24836","9.453","104.27","139","13"
"2026-09-03T19:07:11.2014357+07:00","24836","9.766","107.3","138.28","13"
"2026-09-03T19:07:12.2093431+07:00","24836","10.156","109.26","138.92","13"
"2026-09-03T19:07:13.2296835+07:00","24836","10.578","118.07","139.66","13"
"2026-09-03T19:07:14.2496863+07:00","24836","10.938","121.18","139.95","13"
"2026-09-03T19:07:15.2647742+07:00","24836","11.266","121.25","139.96","13"
"2026-09-03T19:07:16.2693419+07:00","24836","11.688","121.43","139.96","13"
"2026-09-03T19:07:17.2935587+07:00","24836","11.938","121.54","140.18","13"
"2026-09-03T19:07:18.2994038+07:00","24836","12.266","121.83","140.37","13"
"2026-09-03T19:07:19.3201123+07:00","24836","12.812","122.29","141.33","13"
"2026-09-03T19:07:20.3370235+07:00","24836","13.266","122.23","140.96","13"
"2026-09-03T19:07:21.3539713+07:00","24836","13.75","122.82","141.72","13"
"2026-09-03T19:07:22.3661295+07:00","24836","14.078","122.13","140.8","13"
"2026-09-03T19:07:23.3897508+07:00","24836","14.547","122.83","141.91","13"
"2026-09-03T19:07:24.4075779+07:00","24836","14.906","122.1","140.83","13"
"2026-09-03T19:07:25.4174369+07:00","24836","15.359","122.53","141.27","13"
"2026-09-03T19:07:26.4393260+07:00","24836","15.938","123.87","142.64","13"
"2026-09-03T19:07:27.4472922+07:00","24836","16.484","125.11","207.35","13"
"2026-09-03T19:07:28.4522229+07:00","24836","17.016","125.54","207.66","13"
"2026-09-03T19:07:29.4688387+07:00","24836","17.5","129.21","208.54","13"
"2026-09-03T19:07:30.4851665+07:00","24836","18.016","139.21","209.18","13"
"2026-09-03T19:07:31.5012397+07:00","24836","18.438","150.4","209.88","13"
"2026-09-03T19:07:32.5147706+07:00","24836","18.953","151.02","208.52","13"
"2026-09-03T19:07:33.5235425+07:00","24836","19.312","151.61","209.23","13"
"2026-09-03T19:07:34.5383700+07:00","24836","19.812","162.01","209.96","13"
"2026-09-03T19:07:35.5494861+07:00","24836","20.234","174.5","210.76","13"
"2026-09-03T19:07:36.5575342+07:00","24836","20.75","176.24","209.26","13"
"2026-09-03T19:07:37.5678480+07:00","24836","21.234","176.84","209.98","13"
"2026-09-03T19:07:38.5809667+07:00","24836","21.703","177.57","210.93","13"
"2026-09-03T19:07:39.5961735+07:00","24836","22.172","178.53","211.44","13"
"2026-09-03T19:07:40.6026772+07:00","24836","22.656","176.45","210.32","13"
"2026-09-03T19:07:41.6190151+07:00","24836","23.312","177.7","211.55","13"
"2026-09-03T19:07:42.6252755+07:00","24836","23.875","177.81","211.57","13"
"2026-09-03T19:07:43.6377743+07:00","24836","24.344","178.07","211.73","13"
"2026-09-03T19:07:44.6544643+07:00","24836","24.781","175.58","207.96","13"
"2026-09-03T19:07:45.6682552+07:00","24836","25.328","176.81","209.45","13"
"2026-09-03T19:07:46.6839291+07:00","24836","25.938","177.18","209.84","13"
"2026-09-03T19:07:47.6848610+07:00","24836","26.406","178.51","211.41","13"
"2026-09-03T19:07:48.6985686+07:00","24836","26.984","176","208.54","13"
"2026-09-03T19:07:49.7052936+07:00","24836","27.547","176.86","209.84","13"
"2026-09-03T19:07:50.7204913+07:00","24836","28.047","177.77","211.06","13"
"2026-09-03T19:07:51.7391827+07:00","24836","28.75","179.73","213.04","13"
"2026-09-03T19:07:52.7533600+07:00","24836","29.391","176.92","209.29","13"
"2026-09-03T19:07:53.7684171+07:00","24836","30.031","177.72","209.96","13"
